,ALUPG FP Equity_DX_SI_QTY,ALUPG FP Equity_DX_SHORT_INTEREST_VALUE,ALUPG FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALUPG FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALUPG FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALUPG FP Equity_DX_SI_MV,ALUPG FP Equity_DX_DSS,ALUPG FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALUPG FP Equity_DX_SUPPLY_SI_QTY,ALUPG FP Equity_DX_BROKER_SI_QTY,ALUPG FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALUPG FP Equity_DX_BROKER_SI_QTY_ADD,ALUPG FP Equity_DX_SUPPLY_SI_MV_DEC,ALUPG FP Equity_DX_SUPPLY_SI_QTY_DEC,ALUPG FP Equity_DX_BROKER_SI_MV_ADD,ALUPG FP Equity_DX_SUPPLY_SI_QTY_ADD,ALUPG FP Equity_DX_BROKER_SI_QTY_DEC,ALUPG FP Equity_DX_SUPPLY_SI_MV,ALUPG FP Equity_DX_BROKER_SI_MV_DEC,ALUPG FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALUPG FP Equity_DX_UTILIZATION_QUANTITY,ALUPG FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALUPG FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALUPG FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALUPG FP Equity_DX_ACTIVE_UTILIZATION_MV,ALUPG FP Equity_DX_BROKER_SI_CON_RATIO,ALUPG FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ALUPG FP Equity_DX_DEMAND_SUPPLY_RATIO
2007-01-23,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,36723.0,127705.72,0.24,0.0,0.0,,0.0
2007-01-24,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,36723.0,125756.02,0.24,0.0,0.0,,0.0
2007-01-25,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,36723.0,128680.57,0.24,0.0,0.0,,0.0
2007-01-26,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,36723.0,126145.96,0.24,0.0,0.0,,0.0
2007-01-29,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,36723.0,116982.34,0.24,0.0,0.0,,0.0
2007-01-30,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,36723.0,128680.57,0.22,0.0,0.0,,0.0
2007-01-31,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,36723.0,110353.34,0.24,0.0,0.0,,0.0
2007-02-01,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,36723.0,120491.81,0.21,0.0,0.0,,0.0
2007-02-02,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,36723.0,126535.9,0.23,0.0,0.0,,0.0
2007-02-05,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,36723.0,121076.72,0.24,0.0,0.0,,0.0
2007-02-06,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,36723.0,113082.93,0.23,0.0,0.0,,0.0
2007-02-07,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,36723.0,113277.9,0.21,0.0,0.0,,0.0
2007-02-08,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,36723.0,116982.34,0.21,0.0,0.0,,0.0
2007-02-09,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,36723.0,116982.34,0.22,0.0,0.0,,0.0
