,ALFLO FP Equity_DX_SI_QTY,ALFLO FP Equity_DX_SHORT_INTEREST_VALUE,ALFLO FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALFLO FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALFLO FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALFLO FP Equity_DX_SI_MV,ALFLO FP Equity_DX_DSS,ALFLO FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALFLO FP Equity_DX_SUPPLY_SI_QTY,ALFLO FP Equity_DX_BROKER_SI_QTY,ALFLO FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALFLO FP Equity_DX_BROKER_SI_QTY_ADD,ALFLO FP Equity_DX_SUPPLY_SI_MV_DEC,ALFLO FP Equity_DX_SUPPLY_SI_QTY_DEC,ALFLO FP Equity_DX_BROKER_SI_MV_ADD,ALFLO FP Equity_DX_SUPPLY_SI_QTY_ADD,ALFLO FP Equity_DX_BROKER_SI_QTY_DEC,ALFLO FP Equity_DX_SUPPLY_SI_MV,ALFLO FP Equity_DX_BROKER_SI_MV_DEC,ALFLO FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALFLO FP Equity_DX_UTILIZATION_QUANTITY,ALFLO FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALFLO FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALFLO FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALFLO FP Equity_DX_ACTIVE_UTILIZATION_MV,ALFLO FP Equity_DX_BROKER_SI_CON_RATIO,ALFLO FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ALFLO FP Equity_DX_DEMAND_SUPPLY_RATIO
2023-04-13,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,10000.0,91000.0,0.09,0.0,0.0,,0.0
2023-04-14,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,10000.0,81600.0,0.09,0.0,0.0,,0.0
2023-04-17,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,9418.0,80053.0,0.08,0.0,0.0,,0.0
2023-04-18,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,9418.0,83443.48,0.08,0.0,0.0,,0.0
2023-04-19,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,9418.0,81277.34,0.08,0.0,0.0,,0.0
2023-04-20,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,9418.0,80712.26,0.08,0.0,0.0,,0.0
2023-04-21,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,9418.0,80806.44,0.08,0.0,0.0,,0.0
2023-04-24,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,9418.0,79864.64,0.08,0.0,0.0,,0.0
2023-04-25,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,9418.0,79111.2,0.08,0.0,0.0,,0.0
2023-04-26,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,9418.0,78828.66,0.08,0.0,0.0,,0.0
