,ALITL FP Equity_DX_SI_QTY,ALITL FP Equity_DX_SHORT_INTEREST_VALUE,ALITL FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALITL FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALITL FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALITL FP Equity_DX_SI_MV,ALITL FP Equity_DX_DSS,ALITL FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALITL FP Equity_DX_SUPPLY_SI_QTY,ALITL FP Equity_DX_BROKER_SI_QTY,ALITL FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALITL FP Equity_DX_BROKER_SI_MV_NEW_x,ALITL FP Equity_DX_SUPPLY_SI_QTY_NEW_x,ALITL FP Equity_DX_SUPPLY_SI_QTY_INC_x,ALITL FP Equity_DX_BROKER_SI_MV_INC_x,ALITL FP Equity_DX_SUPPLY_SI_MV_NEW,ALITL FP Equity_DX_BROKER_SI_QTY_ADD,ALITL FP Equity_DX_BROKER_SI_QTY_NEW,ALITL FP Equity_DX_SUPPLY_SI_MV_DEC,ALITL FP Equity_DX_BROKER_SI_QTY_INC,ALITL FP Equity_DX_SUPPLY_SI_QTY_DEC,ALITL FP Equity_DX_BROKER_SI_MV_NEW_y,ALITL FP Equity_DX_SUPPLY_SI_QTY_NEW_y,ALITL FP Equity_DX_BROKER_SI_MV_INC_y,ALITL FP Equity_DX_SUPPLY_SI_QTY_INC_y,ALITL FP Equity_DX_BROKER_SI_MV_ADD,ALITL FP Equity_DX_SUPPLY_SI_QTY_ADD,ALITL FP Equity_DX_BROKER_SI_QTY_DEC,ALITL FP Equity_DX_SUPPLY_SI_MV,ALITL FP Equity_DX_BROKER_SI_MV_DEC,ALITL FP Equity_DX_SUPPLY_SI_MV_RMV,ALITL FP Equity_DX_BROKER_SI_MV_RMV,ALITL FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALITL FP Equity_DX_UTILIZATION_QUANTITY,ALITL FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALITL FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALITL FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,ALITL FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALITL FP Equity_DX_ACTIVE_UTILIZATION_MV,ALITL FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ALITL FP Equity_DX_BROKER_SI_CON_RATIO,ALITL FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ALITL FP Equity_DX_DEMAND_SUPPLY_RATIO
2006-01-04,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.03,0.0,,0.0,,0.0
2006-01-11,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.04,0.0,,0.0,,0.0
2006-01-18,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.04,0.0,,0.0,,0.0
2006-01-25,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.04,0.0,,0.0,,0.0
2006-02-01,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.04,0.0,,0.0,,0.0
2006-02-08,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.04,0.0,,0.0,,0.0
2006-02-15,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.04,0.0,,0.0,,0.0
2006-02-22,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.04,0.0,,0.0,,0.0
2006-03-01,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.04,0.0,,0.0,,0.0
2006-03-08,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.04,0.0,,0.0,,0.0
2006-03-15,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.05,0.0,,0.0,,0.0
2006-03-22,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.04,0.0,,0.0,,0.0
